ra,dec,parallax,g_mag,bp_rp
264.35085500652104,-3.1967551943219035,-3.4985616142765776,20.557438,1.438921
264.37088936363585,-3.2755204109322658,-3.4911100777305597,20.516531,2.0165138
264.3454328594116,-3.2666441579163767,-3.4906306623421517,20.74854,1.8491459
264.4374484058457,-3.2657856581443174,-3.475530545097961,19.651901,1.6817245
264.42450520908295,-3.2588814802577297,-3.462984331076575,19.587772,1.8438606
264.42433839679524,-3.3009621384130763,-3.454457000586444,20.738016,1.462246
264.3608828972565,-3.2369243302954973,-3.447593719083094,20.212805,1.4987144
264.41174990526474,-3.196444960547221,-3.428950235418622,20.351847,1.3034153
264.36830307215126,-3.222457632144038,-3.419376947315812,20.451374,2.2952538
264.397624092147,-3.2229642956272464,-3.414357335810172,19.14626,1.64048
264.4029200976706,-3.335890638820589,-3.41204846869487,20.713648,1.067215
264.4306321223229,-3.270336503522257,-3.4118407015243055,19.654638,1.6881866
264.42802773036397,-3.280231451053779,-3.4107996133281646,20.562561,1.5808372
264.401999889418,-3.2958768144055797,-3.40880563834869,20.727144,1.2435074
264.37884337109045,-3.191493018013906,-3.400739307842192,20.081278,1.3281078
264.43428401246945,-3.26553167536827,-3.397526036309697,20.015951,1.6237907
264.40823601329816,-3.2516680103440563,-3.393734253551342,17.574133,1.6368303
264.3968409609898,-3.275560940177761,-3.3892604423605763,19.572487,1.5904236
264.4246235963574,-3.270413159562517,-3.3838449215416655,19.855175,1.6191845
264.3749391871324,-3.2660322313823236,-3.380492132665695,18.980085,1.2883911
264.3696261421356,-3.2530213277624718,-3.3799628344849855,19.24563,1.4326172
264.3952666210796,-3.3121339465770165,-3.3696464105176247,20.305147,1.4718647
264.41435900478643,-3.2022243767601286,-3.3635406643277093,19.98236,1.437273
264.4223405251425,-3.212982904551056,-3.3606811648609844,20.360209,1.2847767
264.44195735118836,-3.2727276959604685,-3.359130880732312,20.686337,1.8667717
264.467157438005,-3.25834585962165,-3.357220390674673,18.338938,1.5924435
264.3609704012542,-3.203518348778586,-3.3565693591636103,20.519093,1.4085083
264.3930149909288,-3.2941315016742836,-3.345210541845813,20.826712,1.0276318
264.39545515035275,-3.2660199273095403,-3.341446971118025,19.371437,1.5773296
264.4269072846364,-3.2427411159387294,-3.3397261909768816,17.588364,1.7792606
264.39261249168476,-3.254180396775256,-3.333339058113055,18.707567,1.6669703
264.3954802039727,-3.251834526455724,-3.315752376233941,17.148094,1.6094713
264.42187117564487,-3.2152318160188273,-3.309815197378361,20.267258,1.3313141
264.47737646587143,-3.1964020594354032,-3.3087678461874126,20.6043,1.2050838
264.3980912306719,-3.273019944916481,-3.3070745740350533,19.282003,1.1060772
264.3116077475487,-3.2651501813610384,-3.2940179890846624,19.967299,1.5228176
264.3893079197349,-3.272878486501589,-3.28152229107542,19.543762,1.3082962
264.44400966453344,-3.2352427602886364,-3.2561076370133426,20.437181,0.9847412
264.37513902054,-3.250273796402119,-3.2531820462446572,17.522741,1.9095154
264.4257848322892,-3.295497316908994,-3.2483469964863465,20.509657,1.8803215
264.4160375516689,-3.3188271164495267,-3.2455304276931582,20.520702,1.4636669
264.4349156301094,-3.251679463836596,-3.2415837192813317,19.778564,1.3714466
264.3678725658116,-3.2958783214518332,-3.232087342005644,20.062803,1.2530518
264.4151248154241,-3.1968908052031293,-3.2219633455921075,20.539064,1.153204
264.4557882223709,-3.272587614688955,-3.216768492502569,20.48327,1.278717
264.4396706093883,-3.2499005736717965,-3.200536861504406,19.998806,1.4600945
264.38567481524836,-3.248764327967792,-3.192885876906454,16.585264,1.7791252
264.44544247976944,-3.258195016538041,-3.1895522598609816,20.53038,2.3761387
264.35536837699595,-3.2409950197578676,-3.1825243613688374,19.830458,1.4563313
264.4215940912,-3.2384110366011045,-3.1760949664167817,19.658228,1.5498962
264.3664872094988,-3.2456863261948423,-3.1698001101855993,19.177423,1.5802193
264.4982163708438,-3.2927518831594673,-3.168956803092653,19.436184,1.5906754
264.41925469059146,-3.2892484573341734,-3.165389732356418,20.67378,1.5978031
264.3780167255631,-3.355202180078995,-3.1630221510581427,20.595,1.3429146
264.43834710240185,-3.264348574590601,-3.1606379929530988,20.355608,2.22402
264.36218897154896,-3.2010189529512334,-3.1484398003787875,20.619614,1.1250782
264.36546487158995,-3.278802203455764,-3.1357010938978362,20.332302,1.8341618
264.3736195349103,-3.2615802545218986,-3.1328561267786097,19.625889,1.6657162
264.4198121896138,-3.180321467241783,-3.125433183380405,20.142427,1.3118229
264.42359576931204,-3.2518022647793665,-3.1246325372662325,18.633785,1.5313015
264.36796745098917,-3.291982109686726,-3.1081591988946333,20.346731,1.4072189
264.3929138225321,-3.235225732580961,-3.107408669544947,19.093027,1.6803017
264.36490174724815,-3.240523327985835,-3.099524726817898,18.186335,1.6572742
264.35169894183696,-3.270159472945495,-3.0950567761435086,20.396685,1.577591
264.3894320181499,-3.2974884013390766,-3.090081904137819,19.900805,0.89234924
264.38081392938517,-3.1724919845062334,-3.0607178998252285,20.654911,1.7585106
264.4135955936154,-3.2794560272828313,-3.0520049442468142,19.675571,1.5588589
264.4298461563622,-3.30457969764474,-3.049125874238759,20.606846,0.96139336
264.41490862944596,-3.221772054579157,-3.038868014561101,19.713821,1.687151
264.36526919082235,-3.263750261559634,-3.0382675057165796,19.904175,1.6182098
264.38597917738315,-3.2219705293295813,-3.036731147348215,19.348177,1.4924774
264.41574787369456,-3.2815824219281895,-3.031428532421461,20.55567,1.405035
